Nombre del Producto,URL de la Imagen
"Consola Sony Playstation 5 Slim Edición Digital + 1,000 v-Bucks (créditos de Fortnite) + 1 Skin + 6 Accesorios exclusivos",https://img.pacifiko.com/PROD/resize/1/250x250/MDNjZThjNG.png
"Laptop Gaming HP Victus 15.6 Pulgadas FHD, 144Hz, Intel Core I5-13420H, 16Gb RAM,  512Gb SSD,  RTX 4050, Win11 Home, Color Gris Oscuro",https://img.pacifiko.com/PROD/resize/1/250x250/NTZmMDMzNT_711.png
"Laptop Gaming HP Victus, 15.6 Pulgadas FHD, 144 Hz, Ryzen 7 7445HS, 16GB RAM, 512GB SSD, NVIDIA GeForce RTX 4050, W11 Home, Color Gris Oscuro",https://img.pacifiko.com/PROD/resize/1/250x250/NDJjNjg3MG_197.png
Consola Playstation 5 Slim Edición Digital Color Blanco (Caja Versión LatAm),https://img.pacifiko.com/PROD/resize/1/250x250/NDY2NGUwN2_1.png
"Control Inalámbrico DualSense Para PS5, Color Negro, Sony",https://img.pacifiko.com/PROD/resize/1/250x250/MzAwZWU2OD_546.png
"Consola Nintendo Switch 2 + Mario Kart World  Versión USA, Pantalla 1080P HDR 120Hz, 256 GB Almacenamiento , Con Joy-Cons, Color Negro",https://img.pacifiko.com/PROD/resize/1/250x250/YTQ5MzJiYj.png
Consola Sony Playstation 5 Slim Edición Disco +  Astro Bot y Gran Turismo 7 Bundle,https://img.pacifiko.com/PROD/resize/1/250x250/NzVmOTJlY2.png
"Laptop Gaming Dell Alienware 16 Aurora, 16 Pulgadas, Intel Core i7-240H, 16GB RAM, 1TB SSD, NVIDIA GeForce RTX 5050, 120Hz, Wi 11, Teclado En Inglés",https://img.pacifiko.com/PROD/resize/1/250x250/YjJlMDQ5M2_829.png
"Laptop Gaming Asus TUF, 16 Pulgadas FHD+, 1920x1200, 165Hz, Ryzen AI 9 270, 32GB RAM, 1TB SSD, NVIDIA GeForce RTX 5070, W11 Home, Teclado Inglés",https://img.pacifiko.com/PROD/resize/1/250x250/M2JlOWMzZD_569.png
"Consola Nintendo Switch 2, Pantalla 7.9 Pulgadas 1080P HDR 120Hz, 256 GB Almacenamiento , Con Joy-Cons Color Negro Versión USA",https://img.pacifiko.com/PROD/resize/1/250x250/MmY3YzRmZW_1.png
"Volante Y Pedales Gaming Logitech G29 Driving Force Para, PS5, PS4 y PC",https://img.pacifiko.com/PROD/resize/1/250x250/ZDU4OGQxM2_220.png
"Consola Sony Playstation 5 Slim Edición Disco 1TB + 1,000 v-Bucks (créditos de Fortnite) + 1 Skin + 6 Accesorios exclusivos",https://img.pacifiko.com/PROD/resize/1/250x250/ZTQxNjUxNz.png
"Sandisk Micro SDXC 256GB, Para Nintendo Switch",https://img.pacifiko.com/PROD/resize/1/250x250/NTM0YzQ4Nz_1.png
"Consola Playstation 5 Pro, 2TB",https://img.pacifiko.com/PROD/resize/1/250x250/MDcyOWM5Zj_200.png
Consola Xbox Series X 1TB Negro,https://img.pacifiko.com/PROD/resize/1/250x250/NWQ0OWJhOW_0_974.png
"Laptop Gaming Lenovo LOQ, 15.6 Pulgadas FHD 144 Hz, AMD Ryzen 7 250, 16GB RAM, 1TB SSD, NVIDIA GeForce RTX 5050, Win 11 Home, Color Gris, Teclado En Inglés",https://img.pacifiko.com/PROD/resize/1/250x250/ZTg0MWIzZj_267.png
"Consola Nintendo Switch OLED, 64GB Almacenamiento, Con Joy-Con, Color Blanco y Negro, Caja Versión Japonesa",https://img.pacifiko.com/PROD/resize/1/250x250/NjJmZTNhN2.png
"Monitor Gaming Samsung Odyssey G4, 25 Pulgadas FHD 1080p, 240Hz, AMD FreeSync",https://img.pacifiko.com/PROD/resize/1/250x250/NTdjYWYyNz_1.png
"Mouse Inalámbrico Óptico Para Juegos, Lightspeed USB, Color Negro, G305 Logitech",https://img.pacifiko.com/PROD/resize/1/250x250/MjAxZjRkND_750.png
"Monitor Gaming Xiaomi G27I, 27 Pulgadas FHD, 1920X1080, 165Hz, HDMI",https://img.pacifiko.com/PROD/resize/1/250x250/ZDI0NWYxYj_1.png
"Consola Sony Playstation 5 Slim Edición Digital + 1,000 v-Bucks (créditos de Fortnite) + 1 Skin + 6 Accesorios exclusivos + Control Inalámbrico Dualsense Negro",https://img.pacifiko.com/PROD/resize/1/250x250/YjVjMTNlOT.png
"Palanca Gaming De Cambios Logitech Driving Force Shifter, Cableado, Color Negro",https://img.pacifiko.com/PROD/resize/1/250x250/NDEwMDFjM2_566.png
"Monitor Gaming Curvo Xiaomi G34WQI, 34 Pulgadas, 3440X1440, 180Hz, HDMI",https://img.pacifiko.com/PROD/resize/1/250x250/NTBjNmJhYz_1.png
"Consola Playstation 5 Slim Edición Disco, Color Blanco, Caja Versión USA + Control Inalámbrico Dualsense Negro",https://img.pacifiko.com/PROD/resize/1/250x250/MDczYTkwYW.png
"Control Inalámbrico Para Xbox Series, Color Blanco Robot",https://img.pacifiko.com/PROD/resize/1/250x250/Mzg1NTk4N2_791.png
Xtech Skadi Mousepad Gaming Con Reposamuñecas - Rosa,https://img.pacifiko.com/PROD/resize/1/250x250/Yzc0MDUyMW_1.png
"Teclado Multimedia Cableado Para Videojuegos Con Iluminación, Armiger Xtech",https://img.pacifiko.com/PROD/resize/1/250x250/OTEzMjBkNm_988.png
Dark Souls Trilogy (PS4) - Plataforma para visualización PlayStation 4,./Videojuegos en Guatemala - Pacifiko.com_files/ICONO+GARANTIAS_Mesa+de+trabajo+1.png
